chi2,mass,radii,mdot,velocity,ID
37.486312,17.5,75.3,1.93E-05,1371.839303,1168
37.521298,17.6,81.6,2.00E-05,1293,1169
37.570623,17.5,74.7,2.28E-05,1408.183057,1170
37.59856,17.6,83,1.50E-05,707,1171
37.689842,17.6,81.6,2.30E-05,1168,1172
37.760047,19.2,67.2,1.20E-05,629.7076597,1173
37.817818,17.6,78.2,1.30E-05,623,1174
37.825616,28.4,96.2,2.21E-05,1125.659689,1175
37.83521,17.6,81.6,1.83E-05,1156.888234,1176
37.838454,17.5,74.7,1.90E-05,1054,1177
37.851727,17.6,84.4,2.10E-05,1270,1178
37.865743,17.6,78.2,2.30E-05,1249,1179
37.886423,17.6,81.9,1.20E-05,548,1180
37.895586,17.5,74.7,2.10E-05,1468,1181
37.902564,17.5,74.7,1.40E-05,739,1182
37.909848,17.6,82.2,1.50E-05,689,1183
37.927614,17.5,74.7,2.07E-05,1151.524207,1184
37.942552,17.5,75,1.50E-05,1055,1185
37.953269,17.6,81.6,2.50E-05,1413,1186
37.977354,17.5,74.7,1.10E-05,501,1187
37.985421,17.6,84.9,1.50E-05,684,1188
37.985457,17.5,74.4,2.20E-05,1601,1189
37.992599,17.5,74.7,2.20E-05,1373,1190
38.067989,19.2,66.5,2.09E-05,1473.013207,1191
38.077194,17.5,74.7,2.10E-05,1496,1192
38.086711,17.5,73.4,2.60E-05,1752,1193
38.102716,17.6,78.2,2.30E-05,1566,1194
38.11604,19.4,78.6,1.17E-05,583.5296801,1195
38.121524,17.6,80.8,1.50E-05,764,1196
38.159899,17.6,81.9,1.40E-05,745,1197
38.19099,17.6,80.8,1.80E-05,1131,1198
38.208526,17.5,74.7,2.90E-05,1898,1199
38.213488,17.5,73.4,2.08E-05,1196.368923,1200
38.255235,17.5,73.4,9.82E-06,463.0997625,1201
38.265936,17.5,73.8,2.20E-05,1533,1202
38.272122,19.4,77.7,1.70E-05,782,1203
38.297434,17.5,74.7,1.90E-05,1435,1204
38.306583,19.3,70.9,1.12E-05,650.8588819,1205
38.320212,19.4,77.5,1.07E-05,390.1717352,1206
38.37544,17.5,74.4,2.00E-05,1109,1207
38.432498,19.3,75.9,1.24E-05,538.0131381,1208
38.432992,19.6,114.4,3.27E-05,1723.784332,1209
38.444051,19.4,79.2,2.06E-05,1050.742937,1210
38.456155,17.6,84.9,1.50E-05,675,1211
38.456759,17.5,73.8,1.10E-05,505,1212
38.469583,19.2,68.6,1.55E-05,1029.253026,1213
38.475677,17.5,74.7,2.10E-05,1160,1214
38.479454,17.5,75.3,2.10E-05,1408,1215
38.483979,17.5,73.8,2.20E-05,1371,1216
38.485485,17.6,83,1.50E-05,862,1217
38.511699,17.5,73.1,1.99E-05,1479.219749,1218
38.532483,19.3,74.1,1.40E-05,905,1219
38.546825,17.5,74.7,2.16E-05,1301.719374,1220
38.560088,17.5,76.4,1.20E-05,658,1221
38.579443,17.5,75.3,1.60E-05,1119,1222
38.60147,17.5,75.3,2.83E-05,1863.681835,1223
38.629167,17.6,80.8,1.10E-05,512,1224
38.657211,17.6,78.2,2.40E-05,1534,1225
38.674203,17.5,73.8,9.90E-06,498,1226
38.677198,17.5,75.3,1.29E-05,838.2043857,1227
38.683763,17.5,76.4,2.30E-05,1407,1228
38.68783,17.6,83,1.10E-05,450,1229
38.716197,18.6,115.8,3.30E-05,1749.799682,1230
38.740358,28.4,96.2,2.63E-05,1605.063214,1231
38.875967,17.6,83,2.63E-05,1446.080074,1232
38.952069,19.1,63.8,7.36E-06,310.6698168,1233
38.954388,26.3,98.8,3.10E-05,1885.299636,1234
38.955499,17.5,72.5,2.80E-05,1933,1235
38.969203,17.6,82.4,1.40E-05,828,1236
39.029377,17.6,85.5,2.18E-05,1213.764706,1237
39.032559,19.4,78,2.02E-05,1055.376297,1238
39.074835,17.5,74.4,2.50E-05,1666,1239
39.098503,19.2,66,1.61E-05,984.2677302,1240
39.124058,22.6,103.5,2.45E-05,1184.27801,1241
39.130146,17.5,73.4,2.30E-05,1645,1242
39.140213,17.6,84.4,2.30E-05,1374,1243
39.141914,17.6,78.2,2.41E-05,1553.138773,1244
39.157599,17.6,78.2,2.70E-05,1915,1245
39.175419,17.5,75.3,1.17E-05,548.7286217,1246
39.224527,17.5,74.7,2.47E-05,1814.358781,1247
39.262686,17.5,74.7,2.40E-05,1611,1248
39.268383,17.6,83,2.63E-05,1515.944372,1249
39.279159,19.3,75.9,1.03E-05,513.2694742,1250
39.301437,17.5,76.4,1.10E-05,541,1251
39.312509,17.6,83,1.90E-05,804,1252
39.382014,19.4,80.4,2.00E-05,969,1253
39.382402,19.1,62.9,8.73E-06,398.72892,1254
39.392628,17.6,83,2.79E-05,1574.755913,1255
39.421352,17.6,80.3,1.80E-05,1221,1256
39.46527,17.6,81.9,1.10E-05,585,1257
39.487399,17.6,77.6,1.15E-05,542.4152355,1258
39.496687,17.5,73.8,1.90E-05,1364,1259
39.529682,17.6,81.6,2.80E-05,1649,1260
39.53965796,19.5,113.9,3.37E-05,1832.989851,1261
39.549926,17.6,83,2.40E-05,1253,1262
39.557276,17.6,84.4,1.80E-05,1082,1263
39.569149,24.3,98.1,3.02E-05,1756.199667,1264
39.577462,19.2,66.8,1.34E-05,738.2013594,1265
39.588579,19.2,68.9,1.29E-05,856.8655683,1266
39.606117,19.4,77.7,2.20E-05,1205,1267
39.712046,17.6,83.2,1.40E-05,768,1268
39.712351,17.5,75.3,1.79E-05,1258.534406,1269
39.712354,19.2,68.3,1.53E-05,865.7320216,1270
39.756972,19.1,62,1.74E-05,1251.245632,1271
39.870647,19.2,68.6,9.64E-06,537.0137838,1272
39.929184,17.5,75.3,2.10E-05,1395,1273
39.949535,19.4,80.4,1.40E-05,611,1274
39.976816,17.5,75.3,1.20E-05,520,1275
40.009651,19.3,71.8,8.54E-06,300.7324701,1276
40.019266,19.4,80.4,1.40E-05,576,1277
40.024468,19.1,60.9,1.25E-05,759.3020289,1278
40.028313,17.6,80.3,1.80E-05,1152,1279
40.035499,17.5,74.7,2.78E-05,1963.746198,1280
40.046911,19.2,66.2,1.80E-05,1384.887709,1281
40.053322,19.4,80.4,1.10E-05,495,1282
40.065775,17.5,73.8,1.50E-05,1088,1283
40.072136,17.6,82.4,2.60E-05,1460,1284
40.085849,19.4,79.2,1.26E-05,519.3138134,1285
40.087878,19.3,74.1,9.70E-06,473.2686173,1286
40.097566,17.5,75.3,1.57E-05,1017.40867,1287
40.108134,17.6,83.2,1.60E-05,739,1288
40.117719,17.5,74.7,2.60E-05,1903,1289
40.149717,17.6,83.5,1.28E-05,594.7104349,1290
40.182458,17.5,74.7,1.80E-05,927,1291
40.19119,17.5,74.7,2.31E-05,1447.998253,1292
40.230484,19.2,68.1,2.19E-05,1603.841527,1293
40.282376,17.6,79.1,2.24E-05,1450.930501,1294
40.296488,19.4,77.7,1.00E-05,375,1295
40.32193,17.5,75.3,2.00E-05,1125,1296
40.350714,19.3,73.4,8.83E-06,382.078802,1297
40.350833,17.6,78.8,2.40E-05,1499,1298
40.363859,28.9,102.3,2.14E-05,1111.973159,1299
40.423476,19.4,80.4,1.60E-05,911,1300
40.468299,17.6,78.2,1.40E-05,779,1301
40.48649,19.2,69.3,1.41E-05,784.6066194,1302
40.554262,19.3,74.1,1.50E-05,588,1303
40.592867,17.6,82.4,2.10E-05,1054.028086,1304
40.597788,28.4,96.2,2.42E-05,1456.575998,1305
40.622958,17.6,78.5,2.65E-05,1851.457741,1306
40.64677,17.6,81.6,1.40E-05,606,1307
40.661261,17.5,75.8,2.84E-05,1879.280363,1308
40.681103,28.4,96.2,2.80E-05,1668.10869,1309
40.719688,17.5,74.4,1.00E-05,487,1310
40.722853,17.6,78.8,1.60E-05,1012,1311
40.755299,17.5,75.3,9.83E-06,433.3353896,1312
40.766461,17.6,83.2,1.80E-05,1146,1313
40.767725,17.6,81.9,2.60E-05,1437,1314
40.76908,28.9,102.3,2.02E-05,1011.589948,1315
40.820566,17.6,78.5,1.18E-05,532.6798915,1316
40.828122,17.6,80,1.66E-05,797.5905449,1317
40.836869,17.5,75.3,9.41E-06,459.3590385,1318
40.875861,19.4,79.8,1.00E-05,318,1319
40.888987,26.8,105.2,3.27E-05,1844.879833,1320
40.891858,17.6,84.4,1.40E-05,594,1321
40.895334,17.5,75.3,2.40E-05,1755,1322
40.920188,17.5,75.5,1.26E-05,807.4503516,1323
40.9619,17.6,83,2.20E-05,1089,1324
41.012467,19.4,78.3,2.05E-05,1252.814801,1325
41.060534,17.5,74.7,1.90E-05,1330.551666,1326
41.061191,19.3,74.9,1.61E-05,794.1996706,1327
41.087354,19.1,64.2,9.34E-06,353.326755,1328
41.133379,17.6,78.5,3.00E-05,1979.133968,1329
41.144073,17.5,75.3,1.98E-05,1452.706121,1330
41.167262,19.2,66.2,1.24E-05,657.7445637,1331
41.188918,17.6,80.3,1.02E-05,456.5847413,1332
41.203869,19.2,68.8,1.97E-05,1363.730451,1333
41.232779,17.5,74.7,2.30E-05,1492,1334
41.258404,17.5,74.7,1.80E-05,928,1335
41.265341,17.6,83.2,2.58E-05,1496.55763,1336
41.286355,17.5,74.7,2.17E-05,1574.706794,1337
41.28748,19.2,68.4,1.38E-05,955.6023684,1338
41.317411,17.6,82.2,1.50E-05,737,1339
41.329348,17.5,74.4,1.30E-05,902,1340
41.339547,17.5,75.3,1.70E-05,1252,1341
41.350365,19.3,75.9,9.53E-06,322.2632742,1342
41.358742,17.5,74.7,2.45E-05,1766.707346,1343
41.375646,17.6,83.2,1.90E-05,1157,1344
41.381207,19.3,73.6,1.83E-05,880.6572471,1345
41.403899,17.5,74.7,2.28E-05,1458.738086,1346
41.408795,19.4,77.7,2.10E-05,1129,1347
41.416071,17.6,80.3,1.70E-05,1123,1348
41.437622,19.4,77.2,1.61E-05,648.4357575,1349
41.447817,28.7,99.3,3.08E-05,1551.316899,1350
41.457272,17.6,84.1,1.91E-05,899.9871649,1351
41.468923,17.6,82.2,1.30E-05,705,1352
41.494238,19.4,80.4,2.40E-05,1436,1353
41.56415,17.6,78.8,1.20E-05,547,1354
41.575302,17.6,80.3,2.70E-05,1787,1355
41.582021,17.5,73.4,1.40E-05,1023,1356
41.636109,19.4,80.7,1.76E-05,810.5017035,1357
41.648714,19.4,79.8,1.30E-05,722,1358
41.659747,19.1,61.9,1.50E-05,1029.466376,1359
41.676953,17.6,80.8,1.20E-05,566,1360
41.721378,19.2,67.5,9.93E-06,471.6932784,1361
41.724968,17.6,82.4,2.70E-05,1427,1362
41.72853,17.6,84.4,2.50E-05,1220,1363
41.748995,17.6,84.9,2.20E-05,1186,1364
41.775909,17.6,80.3,2.10E-05,1374,1365
41.789511,24.7,105,2.57E-05,1395.585417,1366
41.829806,19.1,63.2,9.47E-06,373.087745,1367
41.862543,17.5,75.3,1.10E-05,531,1368
41.864855,19.4,77.2,1.29E-05,764.512884,1369
41.869115,17.5,74.4,2.30E-05,1443,1370
41.883413,17.5,73.8,1.90E-05,1447,1371
41.90177,19.2,70.3,1.90E-05,1299.026128,1372
41.922718,19.1,62.8,1.04E-05,557.247839,1373
41.939994,19.4,77.2,9.20E-06,332.7089145,1374
41.940128,17.5,75.8,1.68E-05,1162.187787,1375
41.955576,19.4,79.8,1.50E-05,666,1376
41.974975,17.6,84.9,1.20E-05,500,1377
41.980824,19.2,65,9.49E-06,320.0168779,1378
41.994759,19.4,79.8,1.10E-05,333,1379
42.002032,17.5,74.7,2.40E-05,1490,1380
42.030763,17.5,74.7,2.15E-05,1279.333331,1381
42.077754,17.6,84.9,1.20E-05,546,1382
42.082207,19.2,68.1,1.88E-05,1153.278587,1383
42.089559,17.5,75.3,1.02E-05,506.631308,1384
42.109448,17.6,78.2,2.20E-05,1522,1385
42.130771,19.3,73.4,1.91E-05,1192.809065,1386
42.135167,19.3,74.4,1.86E-05,1108.143603,1387
42.146995,17.6,81.6,3.10E-05,1828.790017,1388
42.174626,17.6,80.3,2.10E-05,1413,1389
42.187952,19.1,60.7,9.44E-06,481.4306506,1390
42.261659,17.6,84.4,1.30E-05,610,1391
42.277561,17.5,74.4,2.60E-05,1776,1392
42.371791,17.5,72.5,2.00E-05,1511,1393
42.378908,17.5,74.4,1.20E-05,581,1394
42.401482,17.6,83,2.02E-05,898.1750085,1395
42.437739,19.2,69.3,1.19E-05,593.1069997,1396
42.46564,17.6,80.3,1.50E-05,731,1397
42.467355,17.5,74.4,1.60E-05,1113,1398
42.500658,19.4,77.7,2.30E-05,1286,1399
42.501762,17.6,85.8,2.90E-05,1685.121363,1400
42.523742,19.3,72,1.03E-05,583.4217306,1401
42.5391,17.5,73.8,2.30E-05,1434,1402
42.548493,19.4,78,2.10E-05,1332.774215,1403
42.563378,17.6,80.8,1.40E-05,848,1404
42.580587,17.6,78.2,1.30E-05,801,1405
42.67611345,19.6,114.4,3.33E-05,1846.788095,1406
42.696417,19.3,72,1.77E-05,993.8554905,1407
42.778475,17.5,73.8,2.00E-05,1443,1408
42.782529,17.5,74.7,9.70E-06,478,1409
42.819119,17.5,74.7,1.50E-05,1064,1410
42.841522,19.6,114.8,3.28E-05,1795.66395,1411
42.870025,17.5,73.4,2.48E-05,1679.836126,1412
42.879051,17.5,73.8,2.10E-05,1242,1413
42.894947,17.6,80.8,2.80E-05,1783,1414
42.907257,34.2,98.1,2.91E-05,1711.959995,1415
42.948353,17.6,82.4,1.70E-05,1087,1416
42.95017,17.5,74.4,1.00E-05,551,1417
42.986815,19.2,67.8,1.93E-05,1459.643232,1418
42.988595,19.4,77.7,1.35E-05,475.16104,1419
43.001072,17.6,83,2.70E-05,1797,1420
43.025432,19.6,116.8,3.45E-05,1822.786567,1421
43.032144,19.1,62.9,9.94E-06,501.7105681,1422
43.059744,19.4,80.4,2.53E-05,1402.875772,1423
43.070266,24.7,105,2.93E-05,1672.095848,1424
43.081212,19.4,80.4,1.66E-05,757.5615517,1425
43.173468,17.5,75.3,1.45E-05,757.4089194,1426
43.185126,17.6,84.9,1.80E-05,1114,1427
43.20671,19.4,80.4,2.56E-05,1503.878618,1428
43.208882,17.6,80.3,1.40E-05,656,1429
43.215549,17.5,73.4,9.00E-06,434,1430
43.231914,17.5,73.8,9.90E-06,544,1431
43.261482,19.4,77.7,1.80E-05,1135,1432
43.301127,17.5,73.4,2.20E-05,1616,1433
43.317583,17.5,74.7,2.70E-05,1819,1434
43.318037,28.4,96.2,2.37E-05,1416.039097,1435
43.325195,19.2,69.8,2.10E-05,1430.591781,1436
43.345642,19.3,72.9,1.96E-05,1112.747424,1437
43.365195,19.3,75.9,1.07E-05,420.6379058,1438
43.39009,19.3,76.7,9.59E-06,308.334989,1439
43.406727,17.6,78.2,1.00E-05,463,1440
43.407725,19.1,59.9,1.16E-05,951.1008355,1441
43.412617,17.6,83,1.20E-05,474,1442
43.429141,19.4,79.8,2.00E-05,1090.255701,1443
43.437685,17.6,78.2,1.00E-05,502,1444
43.439479,17.6,80.3,2.50E-05,1619,1445
43.449819,19.1,64.1,1.03E-05,410.37509,1446
43.452544,17.5,73.1,2.27E-05,1604.42706,1447
43.463086,17.6,80.3,1.90E-05,871,1448
43.482333,19.2,65.3,1.74E-05,1273.394812,1449
43.496363,19.4,77.7,2.00E-05,1228,1450
43.52924,17.5,74.7,2.10E-05,1425,1451
43.584378,17.6,84.4,2.30E-05,1494,1452
43.610942,27,106.9,2.10E-05,1042.956778,1453
43.642838,17.5,74.7,1.24E-05,625.6292119,1454
43.650332,17.5,74.7,1.20E-05,612,1455
43.660958,17.5,75,2.30E-05,1401,1456
43.662774,17.6,85.5,2.81E-05,1753.803289,1457
43.717869,17.6,80.8,1.20E-05,615,1458
43.742735,17.5,74.7,1.03E-05,430.0303547,1459
43.743675,17.5,74.4,1.30E-05,817,1460
43.772635,17.6,81.9,2.20E-05,1459,1461
43.778758,17.6,82.2,2.75E-05,1654.492232,1462
43.781334,17.5,72.5,2.40E-05,1606,1463
43.798602,17.5,75.3,2.30E-05,1381,1464
43.836782,17.6,81.9,2.70E-05,1701,1465
43.853217,17.5,73.8,1.10E-05,551,1466
43.858832,17.5,74.7,1.60E-05,881,1467
43.868304,17.6,78.2,2.20E-05,1114,1468
43.884663,17.6,84.9,2.70E-05,1405,1469
43.890711,17.5,73.8,2.30E-05,1474,1470
43.916551,17.6,80.8,2.10E-05,1405,1471
43.926354,17.6,81.6,2.20E-05,1076,1472
43.948379,17.5,74.7,2.80E-05,1954,1473
43.976879,17.6,80.5,2.11E-05,1026.889296,1474
43.978668,17.6,83.8,1.43E-05,824.9867704,1475
43.978943,19.3,74.1,9.80E-06,307,1476
43.990897,19.3,74.1,9.90E-06,319,1477
44.021611,19.4,80.4,2.10E-05,1112,1478
44.034638,17.5,74.4,1.49E-05,795.6629087,1479
44.088895,17.6,84.9,1.60E-05,747,1480
44.1262123,19.6,114.5,3.33E-05,1865.696796,1481
44.149297,17.6,81.9,1.90E-05,924,1482
44.158816,17.5,76.7,2.16E-05,1194.845515,1483
44.204386,17.6,84.9,1.80E-05,1057,1484
44.204763,17.5,74.7,1.50E-05,1071,1485
44.215027,17.5,77,1.37E-05,686.8951227,1486
44.2166,17.6,78.2,2.40E-05,1353,1487
44.220707,17.5,75.3,1.16E-05,584.7511376,1488
44.229563,17.5,74.7,1.10E-05,464,1489
44.263122,17.6,78.2,2.10E-05,1147,1490
44.285178,17.6,80.8,2.60E-05,1775,1491
44.358194,17.6,82.2,1.83E-05,1122.2968,1492
44.404139,17.5,76.4,1.10E-05,555,1493
44.4252,17.6,82.2,1.50E-05,905,1494
44.502997,19.3,70.9,1.32E-05,519.0580781,1495
44.589483,17.5,74.7,1.70E-05,1202,1496
44.592672,17.5,76.4,2.21E-05,1596.412408,1497
44.631613,19.4,77.7,1.70E-05,1093,1498
44.725673,17.5,74.7,8.70E-06,391,1499
44.735491,17.6,84.6,2.56E-05,1354.562577,1500
44.736195,17.6,78.2,2.30E-05,1212,1501
44.75124,28.4,96.2,1.96E-05,1113.000494,1502
44.752536,19.3,75.1,1.50E-05,964.0707203,1503
44.808631,17.5,76.4,9.70E-06,460,1504
44.841304,19.4,79.8,2.00E-05,1003,1505
44.876349,17.6,78.8,2.20E-05,1468,1506
44.898918,17.6,83.2,2.31E-05,1512.495381,1507
44.979619,17.6,80.3,2.50E-05,1370,1508
44.981913,17.5,72.5,1.90E-05,1423,1509
45.000251,17.5,75.3,2.60E-05,1896,1510
45.020165,17.6,81.9,2.00E-05,956,1511
45.027798,19.4,80.4,1.17E-05,532.5832651,1512
45.035594,19.2,64.8,1.12E-05,561.9028837,1513
45.037657,17.5,74.7,2.40E-05,1707,1514
45.042463,19.4,78.3,2.20E-05,1418.964274,1515
45.057914,17.5,74.7,2.30E-05,1341,1516
45.06473,19.3,71.6,1.11E-05,500.0421595,1517
45.128578,17.5,74.7,1.90E-05,1278,1518
45.131094,19.1,62.5,1.12E-05,643.2345072,1519
45.13455,19.4,80.7,1.37E-05,742.6687515,1520
45.141187,17.5,74.4,2.27E-05,1396.126237,1521
45.144415,17.5,75,9.80E-06,467,1522
45.160328,17.5,73.8,1.60E-05,1165,1523
45.164399,17.6,84.9,2.51E-05,1244.716457,1524
45.167846,17.5,74.4,1.60E-05,845,1525
45.201233,19.4,77.2,1.81E-05,935.1567212,1526
45.219577,19.2,65.7,1.08E-05,613.8369227,1527
45.299813,19.2,66,1.61E-05,1002.754106,1528
45.333018,17.6,80.3,1.00E-05,421,1529
45.364071,17.6,80.8,1.30E-05,562,1530
45.399071,17.6,78.2,1.79E-05,902.6050064,1531
45.415889,17.5,74.7,2.00E-05,1093,1532
45.431255,17.5,75.3,2.42E-05,1583.855774,1533
45.449449,17.5,74.7,1.87E-05,1346.632126,1534
45.453523,17.6,78.2,2.06E-05,1454.48262,1535
45.513108,19.1,63.3,1.79E-05,1233.622105,1536
45.515071,19.4,77.7,2.20E-05,1166,1537
45.559735,19.4,80.4,2.10E-05,1132,1538
45.573566,17.6,82.2,2.20E-05,1444,1539
45.574941,19.1,61.9,1.21E-05,898.353627,1540
45.595301,17.5,76.4,1.00E-05,520,1541
45.603066,17.6,80.5,1.79E-05,854.0768718,1542
45.629006,17.5,73.4,2.30E-05,1785,1543
45.713985,17.5,75.3,2.00E-05,1501,1544
45.719138,17.5,75.3,2.51E-05,1870.263759,1545
45.731266,19.2,68.3,1.35E-05,704.4609064,1546
45.732158,17.6,83,2.60E-05,1390,1547
45.735468,17.6,78.2,2.35E-05,1566.894421,1548
45.771379,17.6,80.8,2.80E-05,1756,1549
45.777843,17.6,80.8,2.60E-05,1611,1550
45.784797,19.4,80.4,1.30E-05,680,1551
45.803762,17.5,73.8,1.20E-05,797,1552
45.814722,17.5,75.3,1.80E-05,1320,1553
45.819258,17.5,74.7,2.60E-05,1627,1554
45.81961,19.1,63.6,1.17E-05,700.3498741,1555
45.823459,19.1,59.4,1.06E-05,701.2685484,1556
45.855623,17.6,84.4,3.20E-05,1934,1557
45.860694,17.6,80.8,1.20E-05,643,1558
45.877561,19.2,67.5,1.03E-05,637.1080231,1559
45.877991,17.5,75.3,2.20E-05,1582,1560
45.890189,17.5,75.3,2.50E-05,1705,1561
45.939477,17.5,74.7,2.10E-05,1197,1562
45.941343,17.6,85.5,1.11E-05,424.1693235,1563
45.963675,17.6,85.5,2.77E-05,1558.74424,1564
45.966253,17.5,73.8,1.20E-05,494,1565
45.977579,17.6,77.3,1.15E-05,550.5887481,1566
46.019213,17.5,74.7,2.50E-05,1682,1567
46.030872,17.5,74.4,2.55E-05,1905.3408,1568
46.033451,17.5,75.3,1.60E-05,828,1569
46.058362,17.5,74.7,1.46E-05,982.9218686,1570
46.068366,19.6,114.4,2.75E-05,1360.950936,1571
46.076909,17.5,75.3,2.00E-05,1079,1572
46.088898,17.5,72.8,2.68E-05,1932.120663,1573
46.100726,17.5,75.3,1.34E-05,636.3862625,1574
46.102102,17.6,84.4,2.50E-05,1534,1575
46.118333,17.5,74.7,9.80E-06,430,1576
46.119652,17.5,74.4,1.91E-05,1015.636384,1577
46.147403,17.5,74.7,2.20E-05,1391,1578
46.198636,17.6,80.3,2.40E-05,1299,1579
46.226352,19.4,80.4,1.60E-05,947,1580
46.303023,17.5,74.7,1.10E-05,481,1581
46.315168,17.5,72.5,1.50E-05,1130,1582
46.325359,17.5,75.3,2.30E-05,1300,1583
46.411889,19.2,65.1,8.39E-06,320.7237124,1584
46.434204,19.3,75.9,1.67E-05,1093.009316,1585
46.437527,17.5,74.4,1.40E-05,958,1586
46.486378,27.7,65.5,1.31E-05,788.088183,1587
46.493563,17.5,74.7,9.70E-06,525,1588
46.541206,17.5,75.3,1.70E-05,892,1589
46.543601,17.6,82.4,2.60E-05,1480,1590
46.618805,19.2,68.8,9.01E-06,413.2683628,1591
46.629582,17.6,83.2,2.20E-05,1091,1592
46.674659,17.6,83,2.90E-05,1784,1593
46.68846,19.3,75.9,2.54E-05,1512.63222,1594
46.701712,17.6,78.2,1.90E-05,1198,1595
46.707646,17.6,83.8,1.05E-05,389.8567036,1596
46.738462,17.5,75.3,9.30E-06,403,1597
46.752673,17.6,80.3,1.20E-05,587.2136873,1598
46.761784,17.5,75.3,1.67E-05,908.8126458,1599
46.768764,17.5,75.3,2.56E-05,1769.780076,1600
46.786151,17.6,81.6,1.10E-05,394,1601
46.790055,19.2,67.5,1.21E-05,627.4807817,1602
46.791043,19.2,66,1.59E-05,1172.411628,1603
46.83027,17.5,74.7,1.81E-05,1292.1864,1604
46.83612,17.6,83,2.00E-05,902,1605
46.845936,19.1,63,1.46E-05,1036.749023,1606
46.852987,17.6,83,2.40E-05,1326,1607
46.859853,17.6,84.6,2.64E-05,1680.170498,1608
46.861628,19.3,73.6,1.71E-05,1021.196669,1609
46.926005,28.9,102.3,3.97E-05,1920.898769,1610
46.965301,19.3,74.9,1.82E-05,868.4219895,1611
46.971099,17.6,84.4,1.50E-05,603.2996677,1612
46.980963,19.3,73.1,1.60E-05,1080.987492,1613
46.997264,19.4,80.7,2.67E-05,1500.028465,1614
46.998046,17.5,74.4,1.70E-05,1204,1615
47.013903,19.2,65,8.29E-06,301.7842248,1616
47.020143,19.4,78.9,1.81E-05,885.0662376,1617
47.065339,17.6,78.2,2.60E-05,1779,1618
47.072887,19.3,72.2,1.76E-05,974.7555399,1619
47.076763,17.6,83,2.50E-05,1318,1620
47.078845,17.5,74.4,2.14E-05,1613.421429,1621
47.087122,19.2,64.8,1.44E-05,1052.159014,1622
47.102135,19.3,76.9,2.02E-05,1206.848131,1623
47.117568,17.6,82.4,1.50E-05,574,1624
47.143695,19.4,78.3,1.08E-05,332.9425671,1625
47.154495,17.6,78.2,2.38E-05,1370.749897,1626
47.226806,17.5,74.4,1.70E-05,1286,1627
47.259535,19.1,61.9,1.36E-05,717.8286203,1628
47.309647,17.5,73.4,2.20E-05,1308,1629
47.322305,17.6,82.2,2.80E-05,1820,1630
47.333383,17.5,74.7,1.90E-05,1099,1631
47.348164,17.6,83,2.34E-05,1207.444847,1632
47.349386,17.6,84.9,1.20E-05,521,1633
47.377536,19.3,71.4,1.22E-05,801.8210249,1634
47.406986,19.1,61.5,1.16E-05,664.1750168,1635
47.436583,17.6,83,2.50E-05,1565,1636
47.450646,17.5,75.3,2.08E-05,1213.811359,1637
47.455888,17.6,81.6,2.30E-05,1538,1638
47.475028,17.6,83,1.80E-05,845,1639
47.47503,19.3,76.4,1.15E-05,348.7018866,1640
47.540481,17.5,75,1.20E-05,566,1641
47.541289,19.4,80.4,2.20E-05,1277,1642
47.554611,17.6,78.2,1.00E-05,387,1643
47.586682,17.5,74.4,2.20E-05,1622,1644
47.592637,17.5,72.5,8.90E-06,325,1645
47.598855,17.5,73.4,9.20E-06,416,1646
47.624299,17.6,78.2,1.80E-05,1241,1647
47.641879,17.5,74.7,2.40E-05,1448,1648
47.666948,19.2,65.7,1.12E-05,803.6437784,1649
47.693454,19.3,72,1.08E-05,626.8435191,1650
47.705305,17.5,72.5,1.20E-05,826,1651
47.734571,17.6,82.2,1.90E-05,1119,1652
47.735066,17.6,80.8,1.50E-05,735,1653
47.776814,17.5,74.7,1.20E-05,743,1654
47.79504,19.1,61.5,1.26E-05,777.9816575,1655
47.797751,17.5,73.4,2.40E-05,1561,1656
47.869878,17.6,80.8,1.30E-05,570,1657
47.889452,17.6,83,1.10E-05,497,1658
47.925005,17.5,75,1.20E-05,600,1659
47.943016,17.6,83.2,1.20E-05,572,1660
47.983588,18.6,112.8,4.15E-05,1979.485033,1661
48.006751,17.6,83,1.60E-05,635,1662
48.032875,17.6,81.6,1.30E-05,478,1663
48.058745,17.6,79.1,2.49E-05,1527.796013,1664
48.066517,19.1,59.4,9.28E-06,716.3484592,1665
48.067209,19.2,64.5,1.72E-05,1328.747742,1666
48.13303,17.6,80.3,2.00E-05,1326,1667
48.149514,17.5,75.3,2.42E-05,1395.236842,1668
48.185931,17.5,75.3,1.78E-05,1086.90356,1669
48.199501,17.5,74.7,1.20E-05,750,1670
48.25489,17.6,78.2,2.20E-05,1406,1671
48.276915,17.5,75.3,1.14E-05,689.8658468,1672
48.298625,24.8,107.1,2.93E-05,1425.399619,1673
48.43298,19.4,80.7,1.19E-05,447.0649348,1674
48.498893,19.2,67.2,2.01E-05,1460.041064,1675
48.521354,19.1,61.5,8.16E-06,336.9309847,1676
48.527444,17.6,84.1,2.55E-05,1302.369635,1677
48.572158,17.5,74.7,9.80E-06,440,1678
48.585566,17.5,73.4,2.00E-05,1492,1679
48.598866,17.5,75.3,1.60E-05,843,1680
48.608328,17.6,82.2,2.70E-05,1762,1681
48.628218,17.6,80.8,2.00E-05,1333,1682
48.64001,17.5,74.4,2.70E-05,1771,1683
48.778564,17.5,75.3,1.00E-05,490,1684
48.793282,19.1,63.3,1.21E-05,890.5684829,1685
