chi2,mass,radii,mdot,velocity,ID
13.011367,17.5,73.8,1.80E-05,1149,126
13.049359,17.5,75.3,2.30E-05,1535,127
13.123293,17.5,74.7,1.90E-05,1231,128
13.125533,17.5,74.7,2.10E-05,1416,129
13.162083,17.6,80.3,1.50E-05,835,130
13.171642,17.5,74.7,1.70E-05,1099,131
13.182325,19.4,77.7,1.40E-05,667,132
13.185997,17.5,74.4,1.50E-05,971,133
13.210539,17.5,74.7,1.80E-05,1119,134
13.248448,17.5,72.5,1.50E-05,899,135
13.274989,17.5,73.8,1.80E-05,1047,136
13.398911,17.6,81.6,1.50E-05,764,137
13.451381,17.5,75.3,1.50E-05,852,138
13.530906,17.5,74.7,1.60E-05,956,139
13.537518,17.5,74.4,1.85E-05,1113.187007,140
13.548094,17.6,80.3,1.70E-05,985,141
13.558417,19.4,77.7,1.43E-05,711.0012421,142
13.632365,17.5,74.4,1.80E-05,1040,143
13.694406,17.6,81.9,1.51E-05,766.5814158,144
13.70799,19.4,77.7,1.30E-05,696,145
13.748698,17.5,74.4,2.00E-05,1228,146
13.788922,17.5,76.4,1.40E-05,771,147
13.80037,17.5,75.3,1.56E-05,916.9155115,148
13.821016,17.6,80.8,2.19E-05,1286.951211,149
13.838967,17.5,73.8,1.80E-05,1046,150
13.86249,17.5,76.4,1.60E-05,897,151
13.863177,17.5,74.4,1.48E-05,972.2051136,152
13.897307,17.5,74.7,1.70E-05,1118,153
13.918467,17.6,83.2,2.30E-05,1380,154
13.926085,17.5,74.4,1.20E-05,707,155
13.94345,17.5,74.4,1.70E-05,1151,156
13.98047,19.3,74.1,1.40E-05,767.830786,157
14.020343,17.5,74.7,1.70E-05,1119,158
14.040414,17.6,82.4,1.80E-05,1038,159
14.049627,17.5,73.8,2.20E-05,1506,160
14.085206,17.5,74.4,1.80E-05,1024,161
14.151767,17.5,72.5,1.60E-05,895,162
14.160314,17.6,80.3,1.60E-05,836,163
14.167522,19.4,79.8,1.50E-05,779,164
14.259514,19.4,78.3,1.35E-05,702.1127796,165
14.304526,19.4,80.4,1.70E-05,846,166
14.315773,19.3,74.1,1.40E-05,756,167
14.323435,17.6,83,1.70E-05,829,168
14.345062,17.5,75.3,1.55E-05,851.8890122,169
14.347404,19.3,73.6,1.30E-05,692.3240798,170
14.375355,17.6,83.8,1.80E-05,869.5268305,171
14.395247,17.5,74.7,1.50E-05,878,172
14.400727,19.4,80.4,1.30E-05,607,173
14.414643,17.5,75.3,2.30E-05,1462,174
14.454989,19.3,74.1,1.26E-05,663.5792017,175
14.461842,17.5,73.8,1.80E-05,1073,176
14.466901,19.3,75.9,1.32E-05,714.0515343,177
14.576577,17.5,76.7,1.57E-05,948.8473221,178
14.616963,17.6,80.8,1.60E-05,889,179
14.63548,19.4,77.2,1.52E-05,779.2582936,180
14.640366,17.6,84.9,2.10E-05,1084,181
14.650598,17.6,79.7,1.57E-05,925.1367951,182
14.73026,17.5,73.4,1.90E-05,1183,183
14.748074,17.6,83,2.20E-05,1154,184
14.932725,19.4,77.7,1.80E-05,1041,185
14.943077,17.5,75.3,1.50E-05,922,186
14.952714,17.5,72.5,1.58E-05,1082.369565,187
14.989665,17.5,73.8,1.40E-05,956,188
14.997762,17.5,74.4,1.60E-05,1090,189
15.004733,17.5,74.4,2.00E-05,1400,190
15.01534,17.6,78.8,1.40E-05,805,191
15.07571,17.6,82.2,1.90E-05,1039,192
15.109151,19.4,77.7,1.40E-05,766,193
15.245075,17.5,73.8,1.60E-05,965,194
15.311587,17.6,80,1.50E-05,886.5026294,195
15.327425,17.6,82.4,1.80E-05,895,196
15.343216,17.5,74.7,1.50E-05,855,197
15.359715,17.5,76.4,2.28E-05,1443.142952,198
15.368788,17.6,78.2,2.23E-05,1434.01482,199
15.389613,19.4,80.4,1.90E-05,1024,200
15.392641,17.5,73.4,2.50E-05,1671,201
15.392809,17.5,75.3,1.50E-05,840,202
15.393554,17.6,80.3,1.90E-05,1093,203
15.460062,17.6,81.6,1.80E-05,918,204
15.473521,17.5,74.4,1.90E-05,1093,205
15.561498,19.2,70.2,1.23E-05,694.5904325,206
15.621457,17.6,84.4,2.14E-05,1224.527311,207
15.624907,17.6,83,1.70E-05,874,208
15.630731,17.6,81.6,1.80E-05,926,209
15.741962,17.5,74.7,2.10E-05,1313,210
15.771976,17.5,75.3,1.60E-05,860,211
15.78451,19.2,69.3,1.40E-05,822.4650868,212
15.858616,17.5,74.7,2.30E-05,1593,213
15.860895,19.4,77.7,1.40E-05,624,214
15.863303,17.5,74.4,2.10E-05,1497,215
15.915708,17.6,78.8,1.60E-05,895,216
15.943349,17.5,73.8,1.70E-05,1067,217
15.953486,19.3,72,1.31E-05,749.1272796,218
16.015254,19.4,79.8,1.24E-05,566.7392883,219
16.040926,17.6,83,2.40E-05,1378,220
16.062036,17.5,74.7,1.93E-05,1250.039459,221
16.064581,17.5,73.4,1.30E-05,715,222
16.081372,17.6,84.4,1.80E-05,914,223
16.14169,19.2,66.5,1.16E-05,631.4183798,224
16.160898,17.6,80.8,1.60E-05,907,225
16.167496,17.5,77,2.22E-05,1358.839385,226
16.236379,17.6,78.2,1.90E-05,1094,227
16.26332,17.6,81.9,1.50E-05,884,228
16.274407,33,92,2.33E-05,1312.350001,229
16.303126,19.4,80.4,1.90E-05,1005,230
16.32885,17.6,78.2,1.70E-05,1049,231
16.380573,17.6,82.2,1.50E-05,865,232
16.39725,17.6,81.6,1.60E-05,779,233
16.413619,17.5,74.4,2.10E-05,1367,234
16.430343,19.3,74.1,1.40E-05,720,235
16.469142,17.6,78.2,2.10E-05,1271,236
16.469446,19.2,64.5,1.31E-05,891.4803037,237
16.594391,17.6,82.4,1.40E-05,696,238
16.623718,17.6,83,1.60E-05,832,239
16.707331,19.2,64.7,1.14E-05,690.8799894,240
16.741939,17.5,74.7,1.40E-05,824,241
16.76475,17.5,75.3,1.80E-05,1168,242
16.765585,17.5,75.3,1.30E-05,716,243
16.767498,17.6,80.8,1.58E-05,819.319369,244
16.789064,17.6,83.8,1.81E-05,870.5243775,245
16.818667,19.4,77.7,1.40E-05,698,246
16.822316,19.4,79.5,1.17E-05,548.2332779,247
16.865207,19.4,80.4,1.30E-05,534,248
16.878078,17.6,84.9,2.00E-05,998,249
16.980484,17.5,74.7,2.00E-05,1192,250
16.986173,17.5,73.8,2.30E-05,1628,251
17.006518,19.1,62,1.35E-05,968.7385711,252
17.013699,19.4,80.4,1.70E-05,799,253
17.050483,31.8,86.2,2.17E-05,1362.567582,254
17.051368,17.6,77.3,1.43E-05,730.7485837,255
17.102354,17.6,85.2,1.51E-05,739.7174661,256
17.121953,17.5,74.7,1.90E-05,1149,257
17.148979,17.5,74.7,1.70E-05,1127,258
17.173503,17.6,78.2,2.19E-05,1345.023026,259
17.176058,17.6,82.2,1.40E-05,664,260
17.246543,17.6,83.2,1.50E-05,803,261
17.261892,17.5,76.4,1.40E-05,826,262
17.266596,19.2,67,1.10E-05,652.6381994,263
17.272097,17.5,74.4,2.08E-05,1307.447392,264
17.303767,17.5,75.3,1.54E-05,884.2432433,265
17.320414,17.5,75.3,1.90E-05,1163.074796,266
17.348845,17.6,78.8,2.40E-05,1453,267
17.360507,17.6,82.4,1.70E-05,884,268
17.384618,19.4,77.7,1.50E-05,721,269
17.428882,17.6,78.2,2.00E-05,1233,270
17.434943,17.6,84.9,1.80E-05,967,271
17.493438,19.3,75.9,1.23E-05,579.8030027,272
17.512274,17.6,84.4,1.80E-05,911,273
17.520371,19.3,71.6,1.69E-05,1029.29417,274
17.53471,31.2,99.1,2.35E-05,1221.056685,275
17.564174,17.5,75.3,1.70E-05,953,276
17.590605,19.2,68.8,1.16E-05,657.2113047,277
17.638474,17.5,72.5,1.70E-05,1215,278
17.652581,19.2,65.1,1.15E-05,662.0037251,279
17.668013,17.5,74.7,2.60E-05,1746,280
17.670287,17.5,75.3,1.86E-05,1246.192219,281
17.698907,19.4,79.8,1.50E-05,812,282
17.699262,17.6,78.2,1.79E-05,1160.335108,283
17.703907,19.2,66.8,1.27E-05,818.8877976,284
17.708416,17.5,74.7,1.30E-05,780,285
17.72341,19.2,68,1.12E-05,630.8907302,286
17.743244,19.4,80.4,1.63E-05,802.7844644,287
17.750264,17.6,80.3,1.70E-05,1032,288
17.758364,17.5,74.7,1.70E-05,1156,289
17.780185,19.3,71.6,1.17E-05,631.3171916,290
17.836987,17.5,74.7,1.90E-05,1144,291
17.854378,19.4,77.5,1.73E-05,929.9965843,292
17.857578,19.1,63.8,9.81E-06,580.5565391,293
17.894655,17.6,78.2,1.40E-05,746,294
17.930831,17.5,75.3,1.30E-05,789,295
17.941358,17.5,74.7,2.20E-05,1440,296
17.966154,17.5,73.8,1.60E-05,954,297
18.022317,19.1,63.6,1.29E-05,856.299069,298
18.045086,17.5,75.5,1.70E-05,1127.130099,299
18.091533,17.6,84.4,2.10E-05,1213,300
18.122071,19.2,64.8,1.13E-05,697.6134862,301
18.128339,19.4,80.4,1.83E-05,1034.817876,302
18.154998,17.5,76.4,1.80E-05,1029,303
18.158027,28.9,102.3,2.70E-05,1338.198531,304
18.164155,19.2,67.5,1.13E-05,692.4138745,305
18.212582,17.5,75.3,2.00E-05,1359,306
18.305847,17.6,83,2.24E-05,1163.902728,307
18.316061,19.3,76.4,1.28E-05,669.1890928,308
18.322839,17.5,73.4,1.30E-05,722,309
18.343574,17.6,83,1.80E-05,909,310
18.357094,17.6,80.8,1.80E-05,954,311
18.366772,29.4,106.9,3.15E-05,1589.263871,312
18.439089,17.5,74.4,2.10E-05,1262,313
18.480501,19.1,59.9,1.10E-05,737.426326,314
18.572051,19.2,70.3,1.42E-05,895.3421691,315
18.57371,17.6,84.9,2.20E-05,1209,316
18.600039,17.5,74.4,1.60E-05,922,317
18.61855,19.4,77.7,1.90E-05,1053,318
18.626749,17.6,78.2,1.50E-05,785,319
18.666862,19.2,69.6,1.19E-05,649.876561,320
18.668843,17.6,82.4,2.43E-05,1384.019581,321
18.674028,17.5,74.7,1.35E-05,674.5332183,322
18.691066,19.3,74.1,1.10E-05,561,323
18.712663,17.6,83,2.17E-05,1174.353614,324
18.813498,17.5,75.3,1.90E-05,1179,325
18.833024,17.5,74.4,1.21E-05,667.5939784,326
18.837403,17.5,73.4,2.20E-05,1422,327
18.845979,19.1,62,1.06E-05,700.2526259,328
18.85912,19.4,78.3,1.53E-05,777.8793907,329
18.87926,17.5,75,1.70E-05,1059,330
18.886786,17.5,74.7,1.70E-05,973,331
18.889963,17.6,81.9,1.95E-05,1164.829926,332
18.971681,17.5,74.7,2.30E-05,1457,333
18.985903,17.5,73.8,2.00E-05,1332,334
18.999426,17.5,74.7,2.10E-05,1337,335
19.012591,19.4,80.4,1.40E-05,737,336
19.022531,19.4,77.7,1.80E-05,973,337
