"Class","sRGB","primaries","R","G","B","Hex"
"M3(II)","0.4185","0.412","255","201","119","Hashffc977"
"O9","0.2507","0.2468","164","185","255","Hasha4b9ff"
"B0","0.2498","0.2513","161","189","255","Hasha1bdff"
"B1","0.2547","0.2562","168","193","255","Hasha8c1ff"
"B2","0.2606","0.2611","177","196","255","Hashb1c4ff"
"B3","0.2591","0.2582","175","194","255","Hashafc2ff"
"B4","0.2678","0.271","187","203","255","Hashbbcbff"
"B5","0.2628","0.2685","179","202","255","Hashb3caff"
"B6","0.2711","0.2754","191","207","255","Hashbfcfff"
"B7","0.2734","0.2785","195","209","255","Hashc3d1ff"
"B8","0.2653","0.274","182","206","255","Hashb6ceff"
"B9","0.2797","0.2865","204","216","255","Hashccd8ff"
"A0","0.2683","0.2737","187","206","255","Hashbbceff"
"A1","0.2871","0.2955","214","223","255","Hashd6dfff"
"A2","0.2768","0.2842","199","214","255","Hashc7d6ff"
"A5","0.2925","0.3019","223","229","255","Hashdfe5ff"
"F0","0.2789","0.2855","202","215","255","Hashcad7ff"
"F2","0.3061","0.3172","244","243","255","Hashf4f3ff"
"F5","0.2899","0.2978","219","225","255","Hashdbe1ff"
"F8","0.3177","0.3337","255","252","247","Hashfffcf7"
"G0","0.3361","0.349","255","239","219","Hashffefdb"
"G2","0.3461","0.3605","255","236","205","Hashffeccd"
"G3","0.3479","0.3566","255","231","203","Hashffe7cb"
"G5","0.3617","0.3769","255","230","183","Hashffe6b7"
"G8","0.3764","0.3833","255","220","167","Hashffdca7"
"K0","0.3659","0.3706","255","221","181","Hashffddb5"
"K1","0.3693","0.373","255","220","177","Hashffdcb1"
"K2","0.4022","0.4058","255","211","135","Hashffd387"
"K3","0.411","0.4074","255","204","128","Hashffcc80"
"K4","0.4195","0.4128","255","201","118","Hashffc976"
"K5","0.3896","0.3863","255","209","154","Hashffd19a"
"M0","0.3994","0.392","255","204","143","Hashffcc8f"
"M1","0.4048","0.3948","255","202","138","Hashffca8a"
"M2","0.4338","0.4178","255","193","104","Hashffc168"
"M3","0.4254","0.4044","255","192","118","Hashffc076"
"M4","0.4402","0.41","255","185","104","Hashffb968"
