"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
62532,62729,,,"","","","12.854569",-4.681742,371.7472,-4.17,-6.35,0,9.36,1.509,"K0",1.309,"-361.272949",-82.202065,-30.342344,"-7.6-07","7.53-06","-1.141-05","3.36531817110361","-0.081711806374595","-2.02167304791667-08","-3.0785668-08","",,"Vir",1,62532,"","21.6970155380085","",,
616,617,,,"","","","0.125771",32.008744,93.2836,-32.12,-14.06,0,8.5,3.651,"F5",0.451,"79.058559",2.604068,49.44485,"3.85-06","-1.441-05","-5.39-06","0.0329268114311508","0.558657980557974","-1.55722154194444-07","-6.8164803-08","",,"And",1,616,"","3.01717152260177","",,
86270,86537,160835,6592,"","","","17.684857",24.513254,161.8123,-18.35,54.84,-32,6.37,0.325,"K1III+...",1.204,"-12.133083",-146.726339,67.136409,"-1.042-05","4.865-05","2.556-05","4.62988484657103","0.427836996378442","-8.89633103819445-08","2.65871822-07","",,"Her",1,86270,"","64.5654229034655","",,
8741,8759,11489,,"","","","1.878413",-12.727922,105,6.99,11.98,0,7.41,-12.59,"K2III",1.389,"85983.884928",46058.175748,-22032.157848,"-0.00047211","0.00359119","0.00566486","0.491767420524167","-0.222144137794067","3.38884762708333-08","5.8080678-08","",,"Cet",1,8741,"","9462371.61365791","",,
84366,84624,,,"","","","17.299906",25.405342,204.0816,3.63,-10.72,0,9.53,2.981,"G5",0.553,"-33.598844",-181.258232,87.554957,"2.7-06","-5.13-06","-9.58-06","4.52910476498895","0.443406871244773","1.75987366041667-08","-5.1972026-08","",,"Her",1,84366,"","5.592422830409","",9.594,9.454
60281,60467,107904,4715,"","4    CVn","","12.396397",42.542743,95.1475,-80.13,14.4,-0.3,6.03,1.138,"F3IV",0.366,"-69.724982",-7.261814,64.333033,"8.6-07","3.725-05","4.69-06","3.24536911178948","0.742510946865238","-3.88481202229167-07","6.981317-08","",4,"CVn",1,60281,"","30.5351459394029","AI",6.061,5.991
114311,114673,219106,,"","","","23.230436",-47.194353,256.4103,11.32,-11.12,0,7.97,0.925,"K1III",1.086,"170.710095",-34.866187,-188.118724,"-7.12-06","1.582-05","-9.39-06","6.08171393520795","-0.823696855723709","5.48809086388889-08","-5.3911281-08","",,"Gru",1,114311,"","37.1535229097173","",,
75431,75660,137807,,"","","","15.458064",20.466189,105,-46.82,-12,0,9.28,-10.72,"K0",1.133,"-57846.149565",-73696.945478,34965.457351,"-0.01910988","0.01241387","-0.00545007","4.04691164783955","0.357202378945641","-2.26989765236111-07","-5.8177641-08","",,"Ser",1,75431,"","1690440.93164327","",,
85640,85902,158747,,"","","","17.553905",-45.511297,429.1845,5.37,-8.91,0,7.07,-1.093,"B9III",0.033,"-35.045027",-298.710296,-306.175342,"1.264-05","1.183-05","-1.299-05","4.59560163680183","-0.794321970972858","2.60344946458333-08","-4.3196898-08","",,"Sco",1,85640,"","238.341682067315","",,
18512,18559,24899,,"","","","3.972471",24.081125,149.0313,17.54,-44.24,8.2,7.21,1.344,"B9",0.035,"68.877916",117.338913,60.809229,"-4.5-07","2.426-05","-2.576-05","1.0399905850678","0.420294911286245","8.50363195694444-08","-2.14481572-07","",,"Tau",1,18512,"","25.2580605483196","",,
75099,75328,137005,,"","","","15.39108",7.645625,526.3158,-30.6,6.94,42,9,0.394,"B9",-0.096,"-329.22268",-404.620528,70.024086,"-8.594-05","1.808-05","2.326-05","4.02937538191137","0.133441334403104","-1.4835298625-07","3.3646069-08","",,"Ser",1,75099,"","60.5898671138965","",,
69895,70118,125592,,"","","","14.347316",-19.332312,88.4173,-61.42,35.11,0,7.72,2.987,"F2/F3V",0.418,"-68.167736",-48.104379,-29.270247,"-1.925-05","1.864-05","1.42-05","3.75611844549008","-0.337412503591774","-2.97772562597222-07","1.70218083-07","",,"Vir",1,69895,"","5.56160319597592","",,
76864,77100,140630,,"","","","15.743111",1.850603,124.533,-45.12,-13.8,0,9.1,3.624,"F5",0.486,"-69.337287",-103.36651,4.021606,"-2.277-05","1.495-05","-8.33-06","4.12153675595559","0.0322991115874888","-2.18747932666667-07","-6.6904287-08","",,"Ser",1,76864,"","3.09314301094896","",,
14112,14146,18978,919,"Gl 121","11Tau3Eri","","3.039863",-23.624472,27.1739,-145.96,-55.76,-9.8,4.08,1.909,"A4V",0.163,"17.419759",17.787178,-10.889644,"5.25-06","-2.212-05","-2.71-06","0.795834354202079","-0.412324813405945","-7.07634048138889-07","-2.70332108-07","Tau-3",11,"Eri",1,14112,"","15.0106673257037","",,
96798,97105,186413,,"","","","19.734553",3.507712,62.9327,52.82,-128.33,0,7.99,3.996,"G0",0.625,"27.554227",-56.448771,3.850404,"1.553-05","4.92-06","-3.908-05","5.16649397368763","0.061221123087785","2.56078586069444-07","-6.22161396-07","",,"Aql",1,96798,"","2.19583650097319","",,
41301,41419,,,"","","","8.448216",-12.762329,96.1538,273.88,-219.03,0,10.75,5.835,"",1.216,"-56.074793",75.166399,-21.241077,"-8.884-05","-9.441-05","-9.957-05","2.21173786531745","-0.222744661514785","1.32780770830556-06","-1.061887404-06","",,"Pup",1,41301,"","0.403645392967605","",10.813,10.663
104224,104561,201818,,"","","","21.180619",39.206097,398.4064,22.85,-18.68,0,8.2,0.198,"K2",1.159,"228.36973",-207.732674,251.837372,"4.657-05","1.73-05","-2.796-05","5.54507317032435","0.684275480572044","1.10779926006944-07","-9.0563195-08","",,"Cyg",1,104224,"","72.5771650267428","",,
37222,37328,61459,,"","","","7.662971",7.841345,446.4286,-5.6,5.63,0,8.01,-0.239,"K0",1.37,"-186.516823",400.999217,60.906461,"1.169-05","3.6-06","1.207-05","2.0061610014413","0.136857283831338","-2.71495661111111-08","2.729501-08","",,"CMi",1,37222,"","108.542544930683","",,
35926,36026,57667,,"","","","7.423988",56.544103,401.6064,1.21,-12.58,0,7.53,-0.489,"K2",1.526,"-80.640454",206.19569,335.064404,"-9.64-06","1.817-05","-1.35-05","1.94359550732965","0.986880762341341","5.86624553472222-09","-6.0989561-08","",,"Lyn",1,35926,"","136.646968074046","",,
74572,74801,135139,,"","","","15.287194",-66.092283,223.7136,21.76,3.21,0,6.84,0.092,"B6V",-0.013,"-59.111762",-68.743152,-204.518835,"1.582-05","-1.78-05","1.41-06","4.00217807108525","-1.15352794782796","1.05495456888889-07","1.5562519-08","",,"TrA",1,74572,"","80.0202677119333","",,
3591,3599,,,"","","","0.768446",22.615573,105,23.49,-22.06,0,9.12,-10.88,"K2",1.119,"90448.824945",18445.919067,38454.624375,"0.00175398","0.01197937","-0.00987175","0.201178777473919","0.394716218188401","1.138827335625-07","-1.06949897-07","",,"And",1,3591,"","1958844.67350599","",,
9145,9164,,,"","","","1.966485",37.915,680.2721,10.2,-8.63,0,9.96,0.797,"F2III",0.449,"467.117199",264.252903,418.021597,"-1.34-06","3.789-05","-2.245-05","0.51482450869621","0.661741578905075","4.94509954166667-08","-4.183942-08","",,"And",1,9145,"","41.8022828954033","",,
96664,96971,185949,,"","","","19.710687",-25.683324,105,31.88,1.28,0,9.26,-10.74,"G8III",0.967,"39025.248507",-81232.395562,-43339.68032,"0.01404681","0.00644992","0.0005592","5.16024591338776","-0.448258562700869","1.54558601361111-07","6.205615-09","",,"Sgr",1,96664,"","1721868.57498601","",,
61035,61227,109092,,"","","","12.546313",-69.924315,77.0416,-133.21,-6.12,0,8.47,4.036,"F8V",0.546,"-26.175405",-3.769169,-72.360553,"-4.97-06","4.955-05","-7.8-07","3.28461700507234","-1.22040952961772","-6.45820303868056-07","-2.9670597-08","",,"Mus",1,61035,"","2.11641095077087","",,
